,0
1970-12-31,263.9177
1971-12-31,268.3072
1972-12-31,260.6626
1973-12-31,266.6394
1974-12-31,277.5158
1975-12-31,283.834
1976-12-31,290.309
1977-12-31,292.4742
1978-12-31,300.8307
1979-12-31,309.2867
1980-12-31,318.3311
1981-12-31,329.3724
1982-12-31,338.884
1983-12-31,339.2441
1984-12-31,328.6006
1985-12-31,314.2554
1986-12-31,314.4597
1987-12-31,321.4138
1988-12-31,329.7893
1989-12-31,346.3852
1990-12-31,352.2979
1991-12-31,348.3705
1992-12-31,417.5629
1993-12-31,417.1236
1994-12-31,417.7495
1995-12-31,412.2339
1996-12-31,411.9468
1997-12-31,394.6971
1998-12-31,401.4993
1999-12-31,408.2705
2000-12-31,414.2428
