C1	C2	C3	C4	C5	C6	C7	Y
0.0744	0.2386	0.2322	0	0.3772	0.0731	0.0649	27.9
0.0855	0.2287	0.2225	0	0.3615	0.129	0.1493	25.7
0	0.2734	0.2661	0.0272	0.4322	0.0954	0.1104	23.1
0	0.1442	0.1403	0.1362	0.3879	0.2673	0.3094	20.6
0	0.0199	0.0193	0.241	0.0314	0.0014	0.3604	21.2
0	0.0497	0.2737	0.2372	0.0786	0	0.3228	22.4
0	0.1094	0.1768	0.1656	0.1729	0	0.2476	25.1
0	0.2436	0.237	0.0524	0.3851	0.0001	0.0783	25.5
0	0.2635	0.2564	0.0356	0.4165	0.1477	0.1709	25.6
0	0.2685	0.2612	0.0314	0.4244	0.2286	0.2646	28.3
0.1075	0.2088	0.2032	0	0.3606	0.2485	0.2876	29
0.1461	0.174	0.1693	0	0.275	0.1435	0.0533	28.1
0.0965	0.2188	0.2128	0	0.3458	0.0948	0.01	29
0.1461	0.174	0.1693	0	0.275	0.1435	0.0783	26
0.0006	0.2884	0.2806	0.0147	0.4558	0.0086	0.0219	23.6
0	0.169	0.1645	0.1153	0.4534	0.3125	0.3617	22.5
0	0.1144	0.1113	0.1614	0.1807	0.0065	0.2413	21.5
0	0.0646	0.0629	0.2033	0.1022	0.0001	0.304	22
0	0.0895	0.1234	0.1823	0.1415	0	0.2727	24.1
0	0.1939	0.1887	0.0943	0.3065	0	0.141	26.6
0.0138	0.2933	0.2854	0.0001	0.4636	0.0239	0.0276	26.5
0.0083	0.2983	0.2902	0	0.4715	0.3224	0.3731	29.2
0.1571	0.1641	0.1596	0	0.4777	0.3291	0.381	30.2
0.2123	0.1144	0.1113	0	0.1807	0.2085	0.0056	30.1
0.2068	0.1193	0.1161	0	0.1886	0.2031	0.0002	32.5
0.3391	0.0153	0	0	0.0003	0.333	0.0003	26.8
0.3391	0.3058	0.2757	0	0.4479	0.0244	0	24.5
0	0.2138	0.208	0.0775	0.4349	0.2997	0.3469	22.1
0	0.0945	0.0919	0.1781	0.1493	0.0561	0.2664	21.7
0	0.0746	0.0726	0.1949	0.1179	0	0.2915	21.4
